window_start_s,window_end_s,n_beats,mean_rr,sdnn,rmssd,nn50,pnn50,mean_hr,min_hr,max_hr,vlf_power,lf_power,hf_power,total_power,lf_nu,hf_nu,lf_hf_ratio,sd1,sd2,sd1_sd2_ratio,csi,cvi,sample_entropy
1.4388888888888889,301.43888888888887,249,1089.38,42.512,51.001,79,31.855,55.16,46.85,60.85,139.562387,135.337584,789.150108,1279.72336,14.639,85.361,0.1715,36.134,48.052,0.752,1.3298,3.2396,1.803715205148204
61.43888888888889,361.43888888888887,247,1077.868,43.727,51.603,79,32.114,55.76,46.85,61.71,252.180979,347.224082,822.859794,1722.703741,29.675,70.325,0.422,36.563,49.873,0.7331,1.364,3.2609,1.7878759692016575
121.43888888888888,421.43888888888887,234,1077.695,44.173,53.655,85,36.481,55.77,46.85,61.71,236.762507,354.186212,888.322652,1777.457105,28.506,71.494,0.3987,38.02,49.567,0.767,1.3037,3.2752,1.8403126946450457
181.4388888888889,481.43888888888887,226,1077.593,45.415,52.347,77,34.222,55.78,46.85,61.71,257.275322,397.183023,827.83264,1775.816042,32.423,67.577,0.4798,37.096,52.431,0.7075,1.4134,3.2889,1.8772816426662169
241.4388888888889,541.4388888888889,219,1079.49,45.929,52.841,73,33.486,55.68,46.85,61.71,250.203365,350.399928,867.008968,1770.772908,28.782,71.218,0.4041,37.45,53.071,0.7057,1.4171,3.2983,2.013420440582042
301.43888888888887,601.4388888888889,234,1066.216,52.022,51.971,75,32.189,56.41,50.35,64.67,191.905418,305.508648,910.668924,1665.680178,25.12,74.88,0.3355,36.822,63.692,0.5781,1.7297,3.3702,2.085998942225995
361.43888888888887,661.4388888888889,245,1036.19,77.887,51.686,76,31.148,58.24,50.35,73.47,219.479141,285.05154,828.578453,1560.175795,25.597,74.403,0.344,36.619,103.883,0.3525,2.8369,3.5803,1.5175750213065342
421.43888888888887,721.4388888888889,258,1024.655,75.531,51.865,75,29.183,58.88,50.35,73.47,292.700175,203.454682,890.189335,1635.194469,18.603,81.397,0.2286,36.745,100.298,0.3664,2.7296,3.5665,1.502574766891739
481.43888888888887,781.4388888888889,264,1010.638,69.948,52.273,73,27.757,59.65,50.59,73.47,233.004778,249.692913,845.725963,1547.640939,22.794,77.206,0.2952,37.029,91.73,0.4037,2.4772,3.5311,1.5295889844336827
541.4388888888889,841.4388888888889,277,994.836,59.357,51.217,74,26.812,60.52,51.8,73.47,336.093337,158.92501,817.839952,1546.181156,16.271,83.729,0.1943,36.281,75.698,0.4793,2.0864,3.4388,1.895195056476297
601.4388888888889,901.4388888888889,284,985.886,51.465,50.579,75,26.502,61.03,54.14,73.47,206.310512,144.108646,935.496902,1501.109917,13.348,86.652,0.154,35.828,63.354,0.5655,1.7683,3.356,2.223691150524383
661.4388888888889,961.4388888888889,282,992.947,46.253,51.094,77,27.402,60.56,54.14,67.71,180.285502,139.351324,947.836823,1475.109957,12.818,87.182,0.147,36.192,54.486,0.6642,1.5055,3.2949,1.9845623034895925
721.4388888888889,1021.4388888888889,285,981.745,47.829,50.267,78,27.465,61.26,54.14,69.01,183.695378,99.03097,1012.177725,1527.209257,8.912,91.088,0.0978,35.605,57.511,0.6191,1.6153,3.3113,1.960835799271989
781.4388888888889,1081.4388888888889,298,968.065,43.759,49.522,83,27.946,62.1,54.96,69.9,112.534971,79.424111,985.913265,1376.004712,7.455,92.545,0.0806,35.076,50.984,0.688,1.4535,3.2524,1.9092312208352322
841.4388888888889,1141.4388888888889,305,957.186,43.159,49.552,87,28.618,62.81,55.53,69.9,79.356932,55.540382,1049.322876,1364.252846,5.027,94.973,0.0529,35.095,49.937,0.7028,1.4229,3.2437,1.9350470367979424
901.4388888888889,1201.4388888888889,311,946.856,40.077,48.653,88,28.387,63.48,56.69,69.9,71.490067,63.150224,1012.899491,1326.014055,5.869,94.131,0.0623,34.458,45.0,0.7657,1.3059,3.1905,2.164963715117998
961.4388888888889,1261.4388888888889,315,935.088,42.315,46.185,84,26.752,64.3,57.14,76.33,78.590713,63.833787,905.920751,1224.221899,6.582,93.418,0.0705,32.708,50.112,0.6527,1.5321,3.2146,1.7362707836104017
1021.4388888888889,1321.4388888888889,326,921.132,45.287,44.984,82,25.231,65.3,57.14,76.33,107.600793,56.292262,841.858763,1183.533695,6.268,93.732,0.0669,31.857,55.561,0.5734,1.7441,3.248,1.802454758344803
1081.4388888888889,1381.4388888888889,330,908.62,46.163,44.626,85,25.836,66.2,57.14,76.33,130.361525,46.536162,809.830896,1175.311896,5.434,94.566,0.0575,31.601,57.127,0.5532,1.8078,3.2565,1.8685466124418253
1141.4388888888889,1441.4388888888889,335,896.401,45.433,45.598,84,25.15,67.1,59.18,76.33,116.323104,32.144614,752.098735,1073.319575,4.099,95.901,0.0427,32.291,55.548,0.5813,1.7202,3.2537,1.8390123540786005
1201.4388888888889,1501.4388888888889,339,885.98,41.5,45.13,80,23.669,67.87,59.5,76.33,130.455853,44.937273,825.667905,1201.663239,5.162,94.838,0.0544,31.959,49.225,0.6492,1.5402,3.1968,2.1972245773362196
1261.4388888888889,1561.4388888888889,342,878.062,38.027,45.121,86,25.22,68.46,60.34,76.33,93.326878,41.474096,815.816948,1131.040699,4.838,95.162,0.0508,31.951,43.258,0.7386,1.3539,3.1406,2.204604684633842
1321.4388888888889,1621.4388888888889,339,869.461,41.447,45.118,84,24.852,69.16,60.34,80.9,94.510173,55.110833,758.371309,1068.903147,6.775,93.225,0.0727,31.949,49.142,0.6501,1.5382,3.1959,2.236515345482699
1381.4388888888889,1681.4388888888889,341,864.41,41.844,44.104,76,22.353,69.57,60.34,80.9,204.142064,116.808444,875.695007,1466.791481,11.769,88.231,0.1334,31.232,50.264,0.6214,1.6094,3.1959,1.9689845461155253
1441.4388888888889,1741.4388888888889,343,859.937,41.219,43.601,79,23.099,69.93,61.02,80.9,202.705424,131.950446,825.711035,1435.516469,13.778,86.222,0.1598,30.876,49.443,0.6245,1.6014,3.1837,2.3619016701504654
1501.4388888888889,1801.4388888888889,346,846.146,45.333,44.077,81,23.478,71.11,61.02,85.38,175.085826,134.60861,763.816231,1323.112531,14.983,85.017,0.1762,31.21,56.002,0.5573,1.7944,3.2425,1.9042374526547454
